id,name,city_name,address,city_id,slug,latitude,longitude,is_open,usd,cash_in,is_nfc,is_digital,payment_terminal,working_weekends,working_hours,notes
78,Ticarət filialı,Bakı,"Bakı şəhəri, Qaradağ rayonu, Lökbatan qəsəbəsi (Sədərək Ticarət Mərkəzi daxilində)",1,ticaret-filiali,40.3317261,49.7814293,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
89,Fərdi Bankçılıq bölməsi,Bakı,"Bakı şəhəri, Nəsimi rayonu, Bülbül prospekti 60",1,ferdi-bankciliq-bolmesi,40.38107163735132,49.84152146574979,1,0,0,0,0,0,0,Mon-Fri: 09:00-17:00; Sat: ; Sun: ,
90,Bravo 3 filialı,Bakı,"Bakı şəhəri, Nizami rayonu, Heydər Əliyev prospekti 172",1,bravo-3-filiali,40.4183807,49.9124985,1,0,0,0,0,0,1,Mon-Fri: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00); Sat: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00); Sun: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),
131,Sahil filialı,Bakı,"Bakı şəhəri, Səbail rayonu, Bülbül prospekti 18A",1,sahil-filiali-907,40.37214295893622,49.844818650842384,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00); Sun: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),
133,Neftçilər filialı,Bakı,"Bakı şəhəri, Nizami rayonu, R. Rüstəmov küçəsi, 44D",1,neftciler-kart-merkezi-filiali-904,40.4095099423086,49.94256914321402,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
174,Gənclik filialı,Bakı,"Nərimanov rayonu, Həsən Əliyev küçəsi, 889-cu məhəllə, ev 82",1,genclik-filiali-615,40.401912418946644,49.84833954584166,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
175,Qaradağ filialı,Bakı,"Bаkı şəhəri, Qaradağ rayonu, Bünyadzadə küçəsi",1,qaradag-rayon-filiali-614,40.32220659807489,49.73087716163619,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
178,Suraxanı filialı,Bakı,"Suraxanı rayonu, Əmircan qəsəbəsi, Vladimir Balandin küçəsi 44",1,suraxani-rayon-filiali-611,40.42186059408622,50.001500486483565,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
181,Xalqlar Dostluğu filialı,Bakı,"Nizami rayonu, 8-ci km qəsəbəsi, B. Nuriyev küçəsi 10A",1,xalqlar-filiali,40.397417399094344,49.946291728975744,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
187,Bravo 2 filialı,Bakı,"Bakı şəh., Nəsimi rayonu, Tbilisi prospekti, məhəllə 3007 (20 Yanvar Bravo hipermarketinin daxilində)",1,bravo-2-filiali-823,40.4015485097566,49.81099411880433,1,0,0,0,0,0,1,Mon-Fri: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00); Sat: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00); Sun: 10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),
200,Təbriz filialı,Bakı,"Bakı şəhəri, N. Nərimanov rayonu, Təbriz küçəsi 98 a",1,tebriz-filiali-777,40.40035726266819,49.867674273080276,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
