address,branch_code,coordinates_id,createdAt,director,documentId,filter_tags,has_safe_box,has_weekend_hours,id,latitude,locale,longitude,nearby_metro,phone_numbers,publishedAt,title,updatedAt,work_time
"Bakı, Yasamal rayonu, İnşaatçılar pr 14",216,1654,2025-03-06T06:12:30.317Z,Cavid Vəliyev,mkok37esdc9d7d6zdyhzb282,Həftəsonu işləyən filiallar,False,True,734,40.37400208633886,az,49.819266096084036,"Elmlər Akademiyası (12 dəqiqə, green line) | İnşaatçılar (39 dəqiqə, red line)",(+994 12) 493 00 91 |  937,2025-12-03T10:37:02.907Z,Yasamal filialı,2025-12-03T10:40:04.471Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 17:00
Xankəndi şəhəri,222,786,2025-03-06T06:14:08.751Z,---,gedm3zzfqgmjp8nc3r50nsgc,,False,False,570,39.81634804205688,az,46.75202130372225,,(+994 12) 493 00 91 |  937,2025-03-06T06:14:08.769Z,Xankəndi filialı,2025-03-06T06:14:09.722Z,Bazar ertəsi – Cümə: 09:00 - 17:00
Heydər Əliyev adına Beynəlxalq Hava Limanı,927,795,2025-03-06T06:14:10.417Z,Zaur Əliyev,ff70v48ta14cxgta2szt192u,,False,False,576,40.465714,az,50.052151,,(+994 12) 493 00 91 |  937,2025-03-06T06:14:10.429Z,Hava limanı filialı,2025-03-06T06:14:11.461Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Sumqayıt şəhəri, Heydər Əliyev prospekti 509",224,804,2025-03-06T06:14:12.183Z,Elnur Məmmədov,hrdo8yg966wddy2k36jcpnj9,,False,False,582,40.580589,az,49.68178,,(+994 12) 493 00 91 |  937,2025-03-06T06:14:12.196Z,3 saylı Sumqayıt filialı,2025-03-06T06:14:13.210Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Bakı şəhəri, Binəqədi rayonu, S.S. Axundov küç. 42 (“Azadlıq prospekti” metrostansiyasının çıxışı)",202,1060,2025-03-06T06:12:09.263Z,Bağırov Tural,wqp4ga0oeslvmfv9aq2wnmod,Həftəsonu işləyən filiallar,False,True,597,40.425592,az,49.842635,,(+994 12) 493 00 91 |  937,2025-09-25T14:46:06.551Z,Binəqədi filialı,2025-09-25T14:46:05.641Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 17:00
"Bakı, Akademik Ziya Bünyadov prospekti 38C, 1969-cu məhəllə (Bakı KOB Evi)",936,1080,2025-03-06T06:14:05.278Z,Sevindik Səmədzadə,ucln9tj48wr7l4oicbq5kmzo,Həftəsonu işləyən filiallar,False,True,601,40.4129563,az,49.853611,,(+994 12) 493 00 91 |  937,2025-09-25T14:49:05.152Z,KOBİA filialı,2025-09-25T14:49:04.906Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Bakı şəh., Neftçi Qurban Abbasov küçəsi 29",203,1105,2025-03-06T06:12:13.127Z,Namid  Quliyev,sk9jgy8cdtilgc8aybp9wmun,Həftəsonu işləyən filiallar,False,True,606,40.3488352,az,49.8360056,,(+994 12) 493 00 91 |  937,2025-09-25T14:50:47.452Z,Qaradağ filialı,2025-09-25T14:50:47.217Z,Bazar ertəsi – Cümə: 09:00-17:00
"Bakı şəhəri, Suraxanı rayonu, Əmircan qəsəbəsi, İ.Məmmədov küçəsi 3",214,1125,2025-03-06T06:12:28.369Z,Cəfər Əsədov,pf3wcfh0y0gfxqza3hcr2yum,Həftəsonu işləyən filiallar,False,True,610,40.430256,az,49.986922,,(+994 12) 493 00 91 |  937,2025-09-25T14:52:14.891Z,Suraxanı filialı,2025-09-25T14:52:14.594Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Sumqayıt, 13-cü mikrorayon, Üzeyir Hacıbəyov küçəsi",219,1130,2025-03-06T06:14:01.589Z,Rəşad Məmmədli,lrww4ww69xxwr4ck2dglnxb9,Həftəsonu işləyən filiallar,False,True,611,40.570368,az,49.690033,,(+994 12) 493 00 91 |  937,2025-09-25T14:54:10.438Z,Yeni Sumqayıt filialı,2025-09-25T14:54:10.201Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
"Abşeron rayonu, Xırdalan şəhəri, M.Ə.Rəsulzadə küçəsi 3",324,1140,2025-03-06T06:13:11.922Z,Rüfət Xəlilov,i3aisuc4vr5e62om9xzpz6bc,Həftəsonu işləyən filiallar,False,True,613,40.4486008,az,49.7500943,,(+994 12) 493 00 91 |  937,2025-09-25T14:54:33.462Z,Xırdalan filialı,2025-09-25T14:54:33.236Z,Bazar ertəsi – Cümə: 09:00-17:00 | Şənbə: 10:00-14:00
